scenario_id,scenario_name,folder,status,trigger,systems,business_flow,gos_replacement,still_missing_in_gos,recommendation,reason,runs_sampled,errors,last_run,MY_DECISION,MY_NOTES
"1978153","דחיפה של פתיחת תיקייה בגוגל תמונות","(no folder)","live","Scheduled (daily)","Airtable","looks up an Airtable record → calls another automation / external service","Tour Gallery","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","34","0","2026-08-03T05:00:14.840Z","",""
"4459424","טריגר לסנריו  https://us1.make.com/120547/scenarios/4452993/edit","(no folder)","live","Scheduled (daily)","","calls another automation / external service","none needed — internal trigger helper","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","34","0","2026-08-03T12:00:42.683Z","",""
"430341","כפתור ביצוע פעולות מקבל טריגר מפייפדרייב","(no folder)","live","Incoming email","","receives an incoming email → branches on conditions → calls another automation / external service","Deal actions in the GOS UI","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","50","0","2026-07-31T05:26:54.872Z","",""
"430271","מדי לילה בודק נטישות עגלה באתר > מכניס לפייפדרייב","(no folder)","live","Scheduled every 15 min","WooCommerce (website shop)","reads the website order → calls another automation / external service","GOS Ingress Platform (website_form) — code shipped, not credentialed","WEBSITE_FORM_SECRET unset; `messege`/`webpage` aliases missing","Keep temporarily","Lead-intake dependency — the only path these leads have into GOS today.","33","0","2026-08-02T21:30:04.355Z","",""
"2906484","מדריך מאשר רשומת שכר באיירטייבל","(no folder)","live","Webhook — מדריך מאשר רשומת שכר באיירטייבל","Website / incoming form · Airtable","receives a form/web submission → updates an Airtable record","Payroll module — guide approval","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","50","0","2026-08-02T08:42:18.758Z","",""
"4095754","עדכון באירוע ביומן","(no folder)","live","Webhook — calendar changes webhook","Website / incoming form · Airtable · Google Calendar","receives a form/web submission → looks up an Airtable record → branches on conditions → updates the calendar event → loops over items → looks up an Airtable record → updates the calendar event","Tour Calendar sync worker (TourEvent is SSOT)","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","50","0","2026-07-31T16:01:16.356Z","",""
"2600471","עדכון שעת סיור מהדיל","(no folder)","live","Webhook — עדכון שעת סיור מהדיל","Website / incoming form · Pipedrive · Airtable · WhatsApp (Wassenger) · Gmail","receives a form/web submission → reads deals from Pipedrive → looks up an Airtable record → branches on conditions → looks up an Airtable record → updates an Airtable record → updates the deal in Pipedrive → writes a note on the Pipedrive deal → sends a WhatsApp message → sends an email","Tour Calendar sync + Confirmation Email","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","17","0","2026-07-30T07:53:06.589Z","",""
"430254","פעם בשבוע - מחיקת רשומות ישנות של שיחות משוב ממתינות מהאיירטייבל","(no folder)","live","Scheduled (weekly)","Airtable","looks up an Airtable record → deletes an Airtable record","none needed — Airtable housekeeping","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","5","0","2026-08-02T03:00:14.132Z","",""
"1830861","שינויים כמות משתתפים / מידע חשוב על הלקוח / עדכון שם,טלפון,מייל בפרסון","(no folder)","live","Webhook — שינויים כמות משתתפים / מידע חשוב על הלקוח","Website / incoming form · Pipedrive · Airtable","receives a form/web submission → branches on conditions → reads deals from Pipedrive → branches on conditions → looks up an Airtable record → updates an Airtable record → writes a note on the Pipedrive deal → looks up the contact in Pipedrive → looks up an Airtable record → updates an Airtable record","Deals module (participants + customer info)","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","50","0","2026-08-01T09:52:10.348Z","",""
"3190154","שכר - צוות הניהול מאשר את הערות של המדריך","(no folder)","live","Webhook — צוות הניהול מאשר את הערות של המדריך","Website / incoming form · Airtable · Gmail","receives a form/web submission → looks up an Airtable record → sends an email","Payroll module — office approval","","Replace inside GOS","Live, and GOS already covers it completely. Disable after a 48h parity watch.","2","0","2026-08-01T09:10:59.384Z","",""
